Наименование файла;Название;Категория продукта;Цена
IMG_20240408 (11).jpg;Яйцо 1шт куриное С1 РФ;Яйца;11.56
IMG_20240408 (12).jpg;Саратовский маргарин 250г Домашний 60% пергамент;Маргарин;51.00
IMG_20240408 (13).jpg;Геркулес плавлСсыр бОг Дружба 55% фольга;Сыр;43.00
IMG_20240408 (14).jpg;Молочный Мир молоко 1л стерил 3,2% т/п;Сливки;110.00
IMG_20240408 (15).jpg;Володарушка молоко 9ООг пастер 2,5% п/э;Молоко пастеризованное;68.00
IMG_20240408 (16).jpg;неопределен;Йогурт;100.0
IMG_20240408 (17).jpg;Добрыня кефир 5ООг 2,5% п/э;Кефир;52.0
IMG_20240408 (18).jpg;1  Володарушка кефир 9ООг 2,5% п/э;Кефир;80.00
IMG_20240408 (2).jpg;Свекла вес);Творожок;[2.#(
IMG_20240408 (20).jpg;Добрыня сметана 4ООг 15% п/э;Сметана;108.00
IMG_20240408 (21).jpg;лечик пряженка 320г КИСЛОМОЛОЧН продукт 3,2% Юст;Йогурт;49.0>
IMG_20240408 (22).jpg;Чудо йог 26Ог Вишня+черешня 1,9%;Йогурт;#.0
IMG_20240408 (23).jpg;;и |И| Прошу К столу! кукуруза 425мл сахарная ж/б;Йогурт;4).0
IMG_20240408 (24).jpg;.0Ч.4024 ООО "ЮГТЕХ ЛОГИСТИКА Казбек Аква 1,5л газ ПЭТ мвода;Вода;#4.0(
IMG_20240408 (26).jpg;Урожай хлеб 5ООг Монастырский под овал нарезанный уп;Хлеб;37.00
IMG_20240408 (27).jpg;Урожай батон 4ООг Молочный фирменный уП.;Хлеб;43.00
IMG_20240408 (29).jpg;неопределен;Йогурт;172.00
IMG_20240408 (3).jpg;Лук вес) Репчатый;Лук;55.00
IMG_20240408 (30).jpg;Молочный СЛИВКИ 5ООг стерил 10% т/п Мир;Яйца;125.00
IMG_20240408 (31).jpg;Черноголовка нап 2л Байкал пэт;Пепси;100.0
IMG_20240408 (32).jpg;Козачок мак издеп 4ООг Спираль;Макаронные изделия;25.50
IMG_20240408 (34).jpg;Веселая семья масло 0,9л Подсолн рафинир дезодор;Масло;112.00
IMG_20240408 (35).jpg;Кубанская Марка масло 0,8л Подсолн рафинир;Масло;96.00
IMG_20240408 (39).jpg;Перец Болгарский Желтый вес;Перец;405.00
IMG_20240408 (4).jpg;Картофель вес) фас;Лук;#Д.50}
IMG_20240408 (41).jpg;Печенье ДонКо Со Сливочным Вкусом вес;Печенье;179.00
IMG_20240408 (42).jpg;Кефир Володарушка 2 5е 90Эг пл;Кефир;80.00
IMG_20240408 (44).jpg;Крупа Фасоль Белая вес;Лук;436.00
IMG_20240408 (46).jpg;Я70 9;Йогурт;15.0
IMG_20240408 (47).jpg;неопределен;Йогурт;422 руб.0
IMG_20240408 (49).jpg;Грчдка фшлейная;Йогурт;240 руб.0
IMG_20240408 (5).jpg;неопределен;Йогурт;205.00
IMG_20240408 (50).jpg;Крълъъкч курчнъе;Йогурт;2.0
IMG_20240408 (52).jpg;неопределен;Йогурт;100.0
IMG_20240408 (53).jpg;Плечо чн)юшчное;Йогурт;269 уб.0
IMG_20240408 (55).jpg;неопределен;Йогурт;751.0
IMG_20240408 (56).jpg;"жло Жооъе;Йогурт;#З$ РУб.0
IMG_20240408 (57).jpg;неопределен;Йогурт;763.0
IMG_20240408 (58).jpg;неопределен;Йогурт;78.00
IMG_20240408 (7).jpg;00.04 4024 ,0   ЮГ ТЕХ ЛОГИСТИКА Огурец (вес) длинноплодный;Творожок;159.00
IMG_20240408 (8).jpg;неопределен;Йогурт;100.0
IMG_5752.jpg;Лимон;Йогурт;95.0
IMG_5753.jpg;Капуста Цветная Бес 115,00;Капуста;115.00
IMG_5754.jpg;неопределен;Йогурт;Е1 а9 {'.0
IMG_5755.jpg;неопределен;Йогурт;100.0
IMG_5757.jpg;Нектар Мой Гранат Виноград 0,95л т/п;Нектар;100.00
IMG_5759.jpg;Сок Мой Зеленое Яблоко 0,2л т/п;Сок;31.1ъц 00
IMG_5760.jpg;Нектар Мой Апельсин 0,95л т/п;Нектар;100.00
IMG_5761.jpg;Нектар Мой Гранат Виноград 0,95л;Нектар;100.00
IMG_5766.jpg;Крупа Рис Просто Краснодарский 8*62,5г;Рис;32.00
IMG_5768.jpg;Крупа Рис Просто Басмати 50Ог;Рис;223.0
IMG_5771.jpg;Крупа Пшеничная Метака Стандарт 70Ог;Пшеничная крупа;34.00
IMG_5772.jpg;Рис Националь Премиум Крупа Золот/Дик 50Ог Смесь;Рис;309.0
IMG_5773.jpg;Крупа Рис Националь Премиум Смесь Дик/Бур 5ООг;Рис;205.0
IMG_5774.jpg;рупа Рис Националь Премиум /Суши 5ООг;Рис;11 02 1].00
IMG_5776.jpg;Крупа Чечевица Националь Красная в/с 450г;Чечевица;106.0
IMG_5777.jpg;Крупа Нут Националь в/с 45Ог;Перец;11 1е 35.00
IMG_5778.jpg;Крупа Рис Нацкональ Басхати Прениум 5Ог;Рис;9 А 35.00
IMG_5779.jpg;Крупа Рис Националь Феникс Бур/Красный 80Ог;Рис;164.00
IMG_5780.jpg;Рис Националь Гигант Длин/зерн 80Ог Крупа;Рис;221.00
IMG_5781.jpg;Крупа Рис Националь Азиатский длин/зерн 9ООг;Рис;212.0
IMG_5782.jpg;Крупа Рис Националь Японский кругл 8ООг;Рис;182.0
IMG_5783.jpg;Крупа Рис Националь Золото Таиланда длин/зерн 9ООг;Рис;212.00
IMG_5784.jpg;Крупа Рис Националь Адриатика кругл 9ООг;Рис;188.0
IMG_5785.jpg;Урожай Пшеничн 8ООг [Крупа Артек;Пшеничная крупа;51 11.00
IMG_5787.jpg;Крупа Ячневая Урожай ~%3 80Ог;Ячневая крупа;37 1.00
IMG_5789.jpg;Крупа Ячневая Безыменская 8ООг;Ячневая крупа;35.00
IMG_5792.jpg;Безыменский Колотый 8ООг Горох;Горох;41.00
IMG_5795.jpg;Аюальтуса 5 С- Хбупа Певтевв<;Йогурт;60.00
IMG_5796.jpg;Хлопья Агрокультура Овсяные Геркулес 40Ог;Овсяная крупа;35.00
IMG_5797.jpg;Крупа Манная Агрокультура 70Ог;Манная крупа;58.00
IMG_5798.jpg;Крупа Рис Агрокультура Кругл/зарн 8ООг;Рис;124.00
IMG_5799.jpg;"~упа Гречневая Агрокультура урица $ООг;Йогурт;101.0
IMG_5801.jpg;Крупа Горох Агрокультура шлиф 8ООг;Перец;59.0
IMG_5802.jpg;Крупа Рис Агрокультура длин/зерн пропар 8ООг;Рис;142.0
IMG_5804.jpg;Рис 8ООг кругл Крупа Азовские Пампухи;Рис;9 1.00
IMG_5805.jpg;Крупа Горох Азовские Пампухи 80Ог;Гречневая крупа;11 47.00
IMG_5806.jpg;КоОпа Гречневая Азовские Пампухи 8ООг;Гречневая крупа;65.00
IMG_5807.jpg;Ярупа &речневая Лекфарма Адонис Ядрица 9ООг;Гречневая крупа;74.00
IMG_5808.jpg;шлиф Крупа Рис Лекфарма длин/зерн Адонис 0,9кг;Рис;140.0
IMG_5809.jpg;Крупа Рис Лекфарма Адонис пропар 0,9кг;Рис;126.0
IMG_5815.jpg;#ауПа Рис Крупинка Круслый еЗкг;Рис;90.00
IMG_5816.jpg;Крупа Рис Националь д/Плова 90Ог;Рис;182.00
IMG_5817.jpg;Крупа Гречневая Националь Ядрица 9ООг;Гречневая крупа;2.0
