Наименование товара;Категория продукта
Мак Изд Альпина Ракушечки мал 0,9кг;Макаронные изделия
Крупа Ячневая Безыменская 800г ;Ячневая крупа
Крупа Горох Агро Альянс Классик шлиф 800г;Горох
Царь Горох ж/б конс;Горох
Бондюэль горошек;Горох
Горошек конс в ж/б;Горох
Крупа Геркулес ААКаскад 400г;Овсяная крупа
Овсяные хлопья;Овсяная крупа
Хлопья овсян;Овсяная крупа
Геркулес каш (вес);Овсяная крупа
Супер Геркулес круп;Овсяная крупа
Герк овсян круп;Овсяная крупа
Хлоп овс (вес);Овсяная крупа
Мультизлак овсян каш;Овсяная крупа
Свекла (вес);Свекла
Свёкла прем без ГМО;Свекла
Корнеплод Свекла (вес);Свекла
Корнеплод Свёкла (кг);Свекла
Авоська Свекла отборная (меш);Свекла
Сетка Свёкла отбор (шт);Свекла
Сетка Свекла (шт);Свекла
Свекла вес;Свекла
Свёкла вес;Свекла
Свекла без ГМО;Свекла
Крупа Рис ВоЛожка длин/зерн пропар 800г;Рис
Крупа Геркулес ААКаскад 400г;Овсяная крупа
Урожай хлеб 500г Монастырский  под овал нарезанный уп;Хлеб
Батон французский с кунжут;Хлеб
Нарезной батон;Хлеб
Батон горчичный;Хлеб
Хлеб боярский с подосолн сем;Хлеб
Мак Изд Союзпищепром Виток 450г;Макаронные изделия
Крупа Рис Увелка Длин/Пропар в/п 5*80г;Рис
Крупа Кукурузная ВоЛожка Южная 700г;Кукурузная крупа
Круп кукуруз вес;Кукурузная крупа
Крупа кукурузная Урожай 500г;Кукурузная крупа
Кукурузная круп фас 2кг;Кукурузная крупа
Кукузруз круп вес;Кукурузная крупа
Отобр злак Кукуруз круп 1кг уп;Кукурузная крупа
Лопатка (вес) свиная б/к;Свинина
Свиная вырезка вес;Свинина
Свинные уши (вес);Свинина
Бедр свин (вес);Свинина
Свин ребр копчен (вес);Свинина
Свиная голова (вес);Свинина
Печень свиная (вес);Свинина
Копчен свинина;Свинина
Запеченая свинная вырезка (вес);Свинина
Свиное сердце;Свинина
Печенье ДонКо Со Сливочным Вкусом вес;Печенье
Печенье К чаю (вес);Печенье
Песоч печен 200г;Печенье
День ночь печен с нач;Печенье
Бисквит печенье 450г;Печенье
